Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
1896,Buster,Ravager,No Item,Renegade,Cave Bat,D,0.4924,917287805556221270,Maverick,Peacekeeper,
1897,Skyhammer,Skyhammer,Spyder,Infiltrator,Brown Mouse,C,0.2973,600068918435097020,Crimson,Ironclaw,0.26
1898,Renegade,No Item,Infiltrator,Buster,Zebra,B,0.0992,006088154055144258,Orng,Ironclaw,0.16
1899,Peacekeeper,No Item,Peacekeeper,Infiltrator,Staffie,D,0.4924,214466713700803017,C.A.T.,Breaker,0.0975
1900,Ravager,Deep Fried,Deep Fried,Spyder,Panda,A,0.0593,126345927310108452,Ghost,Buster,0.274
1901,Skyhammer,No Item,Infiltrator,Skyhammer,Purple Frog,C,0.2973,727255644411900092,Ghost,Buster,
1902,Deep Fried,No Item,Peacekeeper,Buster,Bengal Cat,C,0.2973,420007457900488468,Ghost,Peacekeeper,0.25
1903,Infiltrator,Peacekeeper,No Item,Skyhammer,Orange Hamster,D,0.4924,918484543164443072,Snes,Skyhammer,
1904,Skyhammer,Deep Fried,No Item,Peacekeeper,Indigo Centipede,B,0.0992,057050271420114869,Red,Renegade,
1905,Deep Fried,Peacekeeper,No Item,Infiltrator,Corgi,D,0.4924,146023111940116341,Grape,Ravager,
1906,Deep Fried,No Item,No Item,Infiltrator,Grey Hamster,D,0.4924,494010410966447028,Ghost,Renegade,
1907,Peacekeeper,Skyhammer,Deep Fried,Spyder,Corgi,D,0.4924,633007223705802546,Guardian,Peacekeeper,0.1718
1908,Ravager,Ironclaw,Breaker,Breaker,Pug,B,0.0992,800895863381491887,Red,Buster,0.18
1909,Infiltrator,Renegade,Ironclaw,Buster,Orange Hamster,D,0.4924,077060153181181821,Red,Renegade,0.1916
1910,Deep Fried,Buster,Peacekeeper,Deep Fried,Raccoon,B,0.0992,455048695972562854,High Tide,Ironclaw,
1911,Infiltrator,No Item,Deep Fried,Deep Fried,Clover,C,0.2973,363586997177506353,Puff,Breaker,
1912,Peacekeeper,No Item,Renegade,Spyder,Canadian Goose,D,0.4924,285007420744262497,8008,Peacekeeper,0.1395
1913,Renegade,Buster,Deep Fried,Infiltrator,Rottweiler,D,0.4924,704029116072509058,Maverick,Deep Fried,
1914,Breaker,Infiltrator,Infiltrator,Ravager,German Shepherd,C,0.2973,788828330624788570,Crimson,Ironclaw,0.1833
1915,Ironclaw,No Item,Peacekeeper,Infiltrator,Hare,C,0.2973,001108218833327227,Nero,Ironclaw,0.1178
1916,Breaker,Spyder,No Item,Deep Fried,Fruit Bat,C,0.2973,127279598666555660,Ghost,Deep Fried,0.1131
1917,Renegade,No Item,No Item,Ironclaw,Orange Cat,D,0.4924,562604681077662808,Seal,Skyhammer,0.199
1918,Spyder,Breaker,Buster,Skyhammer,Black Horse,D,0.4924,708238141214845665,Grape,Ironclaw,0.124
1919,Deep Fried,Infiltrator,Infiltrator,Renegade,Kitsune,S+,0.01,444972809986708041,Camo,Spyder,0.125
1920,Peacekeeper,Renegade,Infiltrator,Ravager,Blue Whale,S,0.0296,486055136767644267,Dune,Buster,
1921,Spyder,Ravager,No Item,Renegade,Centipede,C,0.2973,661060605216550743,Dune,Renegade,
1922,Infiltrator,Spyder,Breaker,Deep Fried,Turkey,C,0.2973,542065491151280728,Ghost,Buster,
1923,Buster,Skyhammer,Buster,Breaker,Cream Frenchie,B,0.0992,054807364530240087,Nero,Peacekeeper,0.2394
1924,Ironclaw,Infiltrator,No Item,Deep Fried,Boid,C,0.2973,060053799856330044,Ghost,Ravager,
1925,Breaker,Renegade,Peacekeeper,Renegade,Brown Moose,C,0.2973,126323706653807241,8008,Ravager,0.1593
1926,Renegade,Ironclaw,No Item,Buster,Turkey,C,0.2973,908023458045115462,Spec. Ops,Ravager,
1927,Buster,No Item,No Item,Breaker,Rabbit,D,0.4924,287226968588112865,Grape,Breaker,
1928,Spyder,No Item,Ironclaw,Spyder,Bull,D,0.4924,140092020288277830,Snes,Spyder,
1929,Ravager,Buster,No Item,Breaker,Bengal Cat,C,0.2973,780089566372664297,Grape,Deep Fried,0.119
1930,Spyder,Spyder,Spyder,Spyder,Koi Spirit,S,0.0296,397824324296244996,Seal,Skyhammer,0.119
1931,Renegade,Spyder,No Item,Buster,Turkey,C,0.2973,782070656081331291,Hero,Renegade,0.119
1932,Deep Fried,No Item,Peacekeeper,Ironclaw,Hare,C,0.2973,064405088966165673,Grape,Buster,0.255
1933,Breaker,No Item,No Item,Skyhammer,Bull,D,0.4924,140470241600669166,Orng,Renegade,
1934,Deep Fried,Skyhammer,Peacekeeper,Breaker,Capybara,A,0.0593,045490466905402049,Royal,Renegade,
1935,Ravager,No Item,No Item,Deep Fried,Mako Shark,D,0.4924,492488298377889056,Spec. Ops,Ironclaw,0.1299
1936,Ravager,No Item,Infiltrator,Ravager,Green Frog,D,0.4924,843658030377840657,Red,Ironclaw,0.118
1937,Peacekeeper,No Item,No Item,Infiltrator,Cave Bat,D,0.4924,140057519722224810,Royal,Peacekeeper,0.1643
1938,Ironclaw,Skyhammer,Ironclaw,Peacekeeper,Doge,B,0.0992,105291674805900041,C.A.T.,Infiltrator,0.1394
1939,Breaker,No Item,Spyder,Ravager,Tuxedo Cat,C,0.2973,548086936666691234,Maverick,Breaker,0.1178
1940,Ravager,Ravager,No Item,Ironclaw,German Shepherd,C,0.2973,664012885356226003,Idol,Spyder,
1941,Deep Fried,Peacekeeper,Spyder,Renegade,Polar Bear,B,0.0992,905697505908752882,Orng,Peacekeeper,
1942,Breaker,No Item,Infiltrator,Ravager,Orange Cat,D,0.4924,076530930688867522,Mint,Renegade,0.126
1943,Buster,Breaker,Deep Fried,Renegade,Black Horse,D,0.4924,630945501542907821,Red,Buster,0.115
1944,Spyder,No Item,Ironclaw,Breaker,Prince Cat,D,0.4924,493268369211540654,Snes,Ironclaw,
1945,Deep Fried,Buster,Spyder,Ravager,Platypus,S,0.0296,180610137954938455,Hero,Renegade,0.149
1946,Ravager,Infiltrator,Ironclaw,Spyder,German Shepherd,C,0.2973,188048125352182849,Grape,Ironclaw,0.1178
1947,Ravager,No Item,No Item,Infiltrator,Grey Wolf,D,0.4924,498818414355885677,Puff,Ironclaw,0.1175
1948,Skyhammer,No Item,Spyder,Renegade,Grey Hamster,D,0.4924,915062606411692860,Ghost,Spyder,
1949,Buster,No Item,No Item,Deep Fried,Prince Cat,D,0.4924,910020498566880790,Orng,Renegade,
1950,Skyhammer,No Item,Renegade,Breaker,Brown Mouse,C,0.2973,061208569466755004,Phantom,Ironclaw,
1951,Breaker,Deep Fried,Peacekeeper,Peacekeeper,Brown Mouse,C,0.2973,546089172640082102,Orng,Deep Fried,
1952,Ravager,Infiltrator,Buster,Infiltrator,Salmon,C,0.2973,906541311330487723,Corps,Infiltrator,
1953,Breaker,No Item,Peacekeeper,Peacekeeper,Salmon,C,0.2973,306558278655086646,Maverick,Ironclaw,
1954,Peacekeeper,No Item,Skyhammer,Ironclaw,Dart Frog,S,0.0296,391001884711806312,Ghost,Infiltrator,0.45
1955,Renegade,No Item,Renegade,Skyhammer,Bear,D,0.4924,350075349044590063,Red,Buster,
1956,Renegade,Renegade,No Item,Peacekeeper,Grey Wolf,D,0.4924,632264175035110737,Puff,Skyhammer,0.1127
1957,Deep Fried,No Item,No Item,Skyhammer,Collie,D,0.4924,358520248933778482,Royal,Renegade,
1958,Ravager,Peacekeeper,No Item,Breaker,Green Frog,D,0.4924,289005269324442420,Spec. Ops,Buster,0.1825
1959,Infiltrator,Renegade,No Item,Buster,Python,D,0.4924,771737253162888432,Seal,Peacekeeper,0.052
1960,Spyder,Deep Fried,No Item,Buster,Black Horse,D,0.4924,282913558230556645,Red,Ravager,0.119
1961,Buster,No Item,Ravager,Renegade,Black Shiba,C,0.2973,540476905500487819,Hero,Breaker,0.119
1962,Buster,No Item,Breaker,Renegade,White Pupper,C,0.2973,360017701555008453,C.A.T.,Peacekeeper,0.1795
1963,Spyder,Ravager,No Item,Infiltrator,Fox,D,0.4924,077033111228337034,Orng,Ravager,0.15
1964,Spyder,No Item,Buster,Renegade,Ape,B,0.0992,000078605233604960,Ghost,Ironclaw,
1965,Buster,No Item,Skyhammer,Renegade,White Pupper,C,0.2973,726885301588058435,Dune,Buster,
1966,Infiltrator,No Item,Infiltrator,Infiltrator,Purple Frog,C,0.2973,366039512111144287,Corps,Deep Fried,0.175
1967,Renegade,Ravager,No Item,Skyhammer,Flamingo,A,0.0593,362688448036228075,Crimson,Ironclaw,0.119
1968,Renegade,Spyder,Breaker,Infiltrator,Rooster,D,0.4924,631952019072778476,Ghost,Spyder,0.055
1969,Infiltrator,Peacekeeper,No Item,Deep Fried,Green Macaw,A,0.0593,326882394100447087,Mint,Spyder,
1970,Peacekeeper,No Item,Buster,Deep Fried,Staffie,D,0.4924,282206393700363088,Maverick,Breaker,0.245
1971,Buster,Ravager,Breaker,Buster,Boar,D,0.4924,071246952588561237,Hero,Breaker,0.124
1972,Breaker,No Item,Renegade,Buster,Staffie,D,0.4924,496626756622456648,Snes,Breaker,0.1143
1973,Renegade,Infiltrator,No Item,Ironclaw,Grey Hamster,D,0.4924,282030581062119057,Red,Renegade,
1974,Ironclaw,Ravager,No Item,Spyder,Cave Bat,D,0.4924,844851720852227729,Puff,Infiltrator,
1975,Infiltrator,No Item,Spyder,Spyder,Clover,C,0.2973,122168723111906008,Idol,Ironclaw,
1976,Ravager,Skyhammer,Buster,Ravager,Chicken,C,0.2973,542482935390843672,Snes,Spyder,0.1095
1977,Peacekeeper,Ravager,Ironclaw,Peacekeeper,Rabbit,D,0.4924,777285778712729139,Corps,Buster,0.063
1978,Deep Fried,Breaker,No Item,Infiltrator,Snake,D,0.4924,142132617970111498,Orng,Spyder,0.16
1979,Peacekeeper,No Item,Deep Fried,Spyder,Fox,D,0.4924,777073624733101217,C.A.T.,Ravager,0.095
1980,Spyder,No Item,No Item,Renegade,Grey Wolf,D,0.4924,004454200244880665,C.A.T.,Skyhammer,
1981,Renegade,No Item,Ironclaw,Buster,Tiger,C,0.2973,662892156011548842,Nero,Spyder,0.16
1982,Ravager,Breaker,No Item,Renegade,Tiger,C,0.2973,360059507384114230,Snes,Deep Fried,
1983,Infiltrator,Ironclaw,Buster,Ironclaw,Grey Hamster,D,0.4924,079076689154360073,Grape,Breaker,
1984,Infiltrator,Infiltrator,No Item,Skyhammer,Tiger,C,0.2973,004272848118553569,Puff,Spyder,
1985,Ravager,No Item,Ravager,Infiltrator,Rabbit,D,0.4924,280043714311202171,Corps,Ravager,0.135
1986,Peacekeeper,No Item,Ravager,Deep Fried,German Shepherd,C,0.2973,786499395777642189,Grape,Deep Fried,0.166
1987,Buster,No Item,Skyhammer,Buster,Hare,C,0.2973,064427654533509586,Guardian,Peacekeeper,
1988,Peacekeeper,Deep Fried,No Item,Peacekeeper,Black Horse,D,0.4924,773581879740001214,Spec. Ops,Infiltrator,0.117
1989,Renegade,No Item,No Item,Breaker,Prince Cat,D,0.4924,566416661066227733,Grape,Breaker,0.1954
1990,Ironclaw,Ravager,Ironclaw,Infiltrator,Black Horse,D,0.4924,144990810828004584,Phantom,Renegade,0.18
1991,Infiltrator,No Item,Ravager,Infiltrator,Grey Hamster,D,0.4924,632045719166808122,Unit 001,Buster,
1992,Infiltrator,No Item,Buster,Deep Fried,Dobermann,C,0.2973,368102196166541552,Mint,Spyder,
1993,Spyder,Ironclaw,Spyder,Spyder,Penguin,B,0.0992,850026625209668466,Orng,Breaker,
1994,Deep Fried,No Item,No Item,Peacekeeper,Bull,D,0.4924,911626571900332127,Dune,Breaker,0.205
1995,Renegade,No Item,Ironclaw,Ironclaw,Bear,D,0.4924,420081788044904258,Orng,Infiltrator,0.1144
1996,Infiltrator,No Item,No Item,Renegade,Grey Hamster,D,0.4924,004055304111881076,Guardian,Buster,0.194
1997,Peacekeeper,No Item,Renegade,Buster,Purple Frog,C,0.2973,780067552744653057,Red,Peacekeeper,0.2
1998,Buster,Skyhammer,No Item,Breaker,White Mouse,D,0.4924,212334665510117776,Ghost,Skyhammer,0.125
1999,Buster,No Item,Ironclaw,Peacekeeper,Purple Centipede,B,0.0992,951889671533187546,Guardian,Deep Fried,0.1169
2000,Infiltrator,No Item,Infiltrator,Spyder,Tan Frenchie,A,0.0593,802478826111323518,Orng,Ironclaw,0.1198
2001,Deep Fried,No Item,No Item,Infiltrator,Corgi,D,0.4924,072467017944111868,Spec. Ops,Peacekeeper,
2002,Breaker,Buster,Ironclaw,Peacekeeper,Mako Shark,D,0.4924,564807374606363089,C.A.T.,Peacekeeper,0.133
2003,Ravager,No Item,Peacekeeper,Breaker,Brown Moose,C,0.2973,849344463300562140,Seal,Skyhammer,0.1487
2004,Buster,No Item,Spyder,Renegade,Fox,D,0.4924,149153306566810736,Ghost,Ravager,
2005,Infiltrator,No Item,Deep Fried,Buster,Purple Frog,C,0.2973,906046358100904224,Seal,Breaker,0.15
2006,Infiltrator,No Item,No Item,Skyhammer,Python,D,0.4924,350072946188004241,Grape,Spyder,
2007,Peacekeeper,No Item,No Item,Infiltrator,Corgi,D,0.4924,496670314788111834,Maverick,Renegade,0.06
2008,Ironclaw,Ravager,Deep Fried,Spyder,Prince Cat,D,0.4924,846496720860408445,Red,Breaker,0.2295
2009,Ironclaw,Breaker,Infiltrator,Deep Fried,Sloth,B,0.0992,805232899849189066,Guardian,Spyder,
2010,Peacekeeper,Spyder,Deep Fried,Buster,Black Pupper,C,0.2973,608737959757906337,Puff,Peacekeeper,0.194
2011,Spyder,No Item,No Item,Breaker,Rooster,D,0.4924,420035965288440743,Dune,Buster,
2012,Breaker,Buster,No Item,Deep Fried,Black Horse,D,0.4924,631359698660773587,Corps,Deep Fried,0.12
2013,Ironclaw,Ironclaw,Renegade,Ironclaw,Orange Hamster,D,0.4924,777099785890974210,Maverick,Deep Fried,0.1186
2014,Spyder,Breaker,No Item,Ravager,Great White,C,0.2973,600078038214221484,Ghost,Ironclaw,0.1159
2015,Buster,No Item,Peacekeeper,Deep Fried,Orange Hamster,D,0.4924,638464494522243670,Royal,Skyhammer,0.115
2016,Peacekeeper,Ravager,No Item,Deep Fried,Giraffe,A,0.0593,600363091700446058,Maverick,Ravager,
2017,Ravager,Peacekeeper,No Item,Skyhammer,Rottweiler,D,0.4924,498024049372003510,Orng,Skyhammer,0.1159
2018,Breaker,No Item,Infiltrator,Spyder,Corgi,D,0.4924,709041324688825031,Guardian,Infiltrator,0.114
2019,Deep Fried,No Item,Spyder,Ironclaw,White Mouse,D,0.4924,560034589966603645,Red,Skyhammer,
2020,Spyder,No Item,Renegade,Ravager,Clover,C,0.2973,181400434266049240,Royal,Renegade,
2021,Renegade,Ravager,Infiltrator,Peacekeeper,Canadian Goose,D,0.4924,147566171080427613,Royal,Breaker,
2022,Peacekeeper,Breaker,Peacekeeper,Deep Fried,Golden Pupper,D,0.4924,910848998728326378,High Tide,Ironclaw,0.1789
2023,Deep Fried,Infiltrator,No Item,Renegade,Snake,D,0.4924,702195805940550669,Red,Buster,
2024,Ironclaw,No Item,Buster,Spyder,Bull,D,0.4924,003698425811663566,Orng,Ironclaw,
2025,Buster,No Item,No Item,Infiltrator,Rabbit,D,0.4924,777208413555004283,Dune,Ironclaw,0.132
2026,Breaker,Ironclaw,No Item,Breaker,Dart Frog,S,0.0296,934482563645445621,Puff,Spyder,0.6
2027,Buster,Breaker,No Item,Renegade,Grey Hamster,D,0.4924,142036705514441242,Snes,Breaker,
2028,Ravager,No Item,Ravager,Infiltrator,Golden Pupper,D,0.4924,775699617311484933,Grape,Deep Fried,
2029,Buster,Breaker,Renegade,Ravager,Rabbit,D,0.4924,001889538570146054,Snes,Deep Fried,
2030,Infiltrator,No Item,Infiltrator,Infiltrator,Tuxedo Cat,C,0.2973,608084412166301223,C.A.T.,Skyhammer,0.108
2031,Breaker,No Item,Infiltrator,Peacekeeper,Pug,B,0.0992,004864871622604828,Maverick,Skyhammer,0.124
2032,Spyder,No Item,Buster,Infiltrator,Blaze,D,0.4924,561441611288901440,Seal,Infiltrator,0.06
2033,Breaker,No Item,No Item,Breaker,Staffie,D,0.4924,284449466655001453,Puff,Deep Fried,0.12
2034,Ironclaw,No Item,Buster,Buster,Hare,C,0.2973,606692255888129693,8008,Spyder,0.138
2035,Infiltrator,No Item,Skyhammer,Spyder,Canadian Goose,D,0.4924,842536221144154221,Puff,Breaker,0.119
2036,Ironclaw,Spyder,No Item,Buster,Fruit Bat,C,0.2973,241875059893550097,Grape,Buster,
2037,Spyder,No Item,Infiltrator,Breaker,Orange Spider,A,0.0593,967235365200063544,Ghost,Buster,0.113
2038,Spyder,Peacekeeper,No Item,Ironclaw,Snake,D,0.4924,632115580256440036,Snes,Buster,
2039,Deep Fried,No Item,No Item,Infiltrator,Bear,D,0.4924,840001911966887568,Idol,Infiltrator,0.15
2040,Infiltrator,No Item,Peacekeeper,Ravager,Purple Frog,C,0.2973,846047237188560690,Snes,Peacekeeper,
2041,Skyhammer,No Item,No Item,Deep Fried,Mako Shark,D,0.4924,566071398466221574,Phantom,Infiltrator,0.136
2042,Breaker,Ravager,No Item,Spyder,Tan Frenchie,A,0.0593,321232727688001052,Mint,Spyder,0.1125
2043,Breaker,Renegade,No Item,Skyhammer,Bulldog,A,0.0593,043299240614889598,Idol,Deep Fried,0.119
2044,Buster,Spyder,No Item,Deep Fried,Flamingo,A,0.0593,325294297509885694,High Tide,Skyhammer,0.119
2045,Skyhammer,Buster,No Item,Spyder,Green Macaw,A,0.0593,007618821472444898,Spec. Ops,Ironclaw,0.119
2046,Deep Fried,No Item,Ravager,Spyder,Blue Whale,S,0.0296,000359127911208420,Spec. Ops,Deep Fried,0.119
2047,Spyder,No Item,Ravager,Peacekeeper,Hare,C,0.2973,902295977244486069,Red,Buster,0.1462
2048,Breaker,Buster,Ironclaw,Spyder,German Shepherd,C,0.2973,426427225636545607,Corps,Peacekeeper,
2049,Ironclaw,Breaker,Peacekeeper,Breaker,Black Horse,D,0.4924,918033564863327679,Royal,Ravager,0.2
2050,Ironclaw,Deep Fried,Renegade,Ravager,Brown Mouse,C,0.2973,480095739830904263,Corps,Buster,0.175
2051,Deep Fried,Skyhammer,Skyhammer,Breaker,Dobermann,C,0.2973,060001868965353561,Puff,Infiltrator,
2052,Spyder,Spyder,Renegade,Buster,Fox,D,0.4924,845690054293940061,Hero,Renegade,0.249
2053,Peacekeeper,No Item,Ravager,Peacekeeper,White Mouse,D,0.4924,912325278755922433,Nero,Buster,
2054,Buster,Peacekeeper,Peacekeeper,Ironclaw,Black Moose,B,0.0992,601685983564646360,Ghost,Buster,
2055,Infiltrator,Infiltrator,No Item,Skyhammer,Rabbit,D,0.4924,351826744136883087,Red,Breaker,
2056,Renegade,Peacekeeper,Buster,Deep Fried,Hare,C,0.2973,187721196064122496,Snes,Infiltrator,
2057,Ironclaw,No Item,Peacekeeper,Infiltrator,Staffie,D,0.4924,772281312888085683,Dune,Infiltrator,0.2049
2058,Peacekeeper,No Item,Ravager,Ironclaw,Black Horse,D,0.4924,707684585744360757,Grape,Skyhammer,0.128
2059,Buster,No Item,Peacekeeper,Ravager,Fruit Bat,C,0.2973,603627331577486673,Hero,Peacekeeper,
2060,Deep Fried,No Item,Renegade,Ravager,Great White,C,0.2973,127087638966255476,Maverick,Peacekeeper,0.12
2061,Spyder,No Item,Ravager,Ironclaw,Cave Bat,D,0.4924,280013683244524578,Idol,Ravager,
2062,Peacekeeper,No Item,Deep Fried,Ravager,Purple Centipede,B,0.0992,752728338733304921,Puff,Ironclaw,
2063,Infiltrator,No Item,Skyhammer,Ravager,Rottweiler,D,0.4924,352007035177856318,Orng,Peacekeeper,0.1045
2064,Breaker,No Item,No Item,Ravager,Cave Bat,D,0.4924,912427037677884552,Mint,Peacekeeper,0.149
2065,Renegade,Ravager,Ironclaw,Buster,Centipede,C,0.2973,545089859024723580,Seal,Deep Fried,0.1735
2066,Ravager,Infiltrator,Buster,Deep Fried,Pig,D,0.4924,701574498326846049,Hero,Skyhammer,0.1297
2067,Renegade,No Item,Peacekeeper,Breaker,Cream Frenchie,B,0.0992,153621166000080718,Orng,Infiltrator,0.1679
2068,Ironclaw,No Item,Breaker,Breaker,Black Shiba,C,0.2973,545629368833004236,Ghost,Deep Fried,0.117
2069,Buster,No Item,No Item,Skyhammer,Grey Hamster,D,0.4924,217021742566882580,Crimson,Infiltrator,0.127
2070,Deep Fried,No Item,Infiltrator,Deep Fried,Orange Cat,D,0.4924,841314697933249178,High Tide,Skyhammer,0.154
2071,Ironclaw,No Item,Peacekeeper,Buster,Blue Spider,B,0.0992,203265256811880090,Orng,Buster,
2072,Renegade,No Item,No Item,Breaker,Orange Hamster,D,0.4924,848469766022226545,Crimson,Deep Fried,0.2125
2073,Skyhammer,Spyder,No Item,Skyhammer,Fox,D,0.4924,917007646403007798,Orng,Peacekeeper,
2074,Ravager,Breaker,Breaker,Breaker,Unicorn,S+,0.01,761211761349919065,C.A.T.,Infiltrator,
2075,Deep Fried,Deep Fried,Infiltrator,Skyhammer,Pig,D,0.4924,703061244960389112,Ghost,Infiltrator,0.18
2076,Skyhammer,No Item,Skyhammer,Deep Fried,Corgi,D,0.4924,286024495477309602,Unit 001,Skyhammer,
2077,Skyhammer,No Item,No Item,Peacekeeper,Collie,D,0.4924,286085371422338055,Crimson,Buster,
2078,Renegade,No Item,Buster,Renegade,Fox,D,0.4924,916394205022000717,Grape,Skyhammer,0.155
2079,Renegade,Ravager,No Item,Deep Fried,Black Shiba,C,0.2973,783608599052446476,Royal,Ironclaw,0.1687
2080,Buster,No Item,Peacekeeper,Deep Fried,Purple Frog,C,0.2973,840019491522167086,High Tide,Deep Fried,
2081,Ravager,No Item,Buster,Peacekeeper,Red Squid,A,0.0593,967732879344301241,C.A.T.,Spyder,0.129
2082,Infiltrator,No Item,Ravager,Deep Fried,Corgi,D,0.4924,424882494177525658,Orng,Spyder,
2083,Ironclaw,Buster,Ravager,Deep Fried,Rottweiler,D,0.4924,428004497884564225,Grape,Skyhammer,
2084,Breaker,Buster,Ravager,Peacekeeper,Staffie,D,0.4924,354424079660089125,Grape,Skyhammer,0.1179
2085,Ironclaw,No Item,Infiltrator,Buster,Teal Frog,B,0.0992,658812153822223640,Maverick,Spyder,
2086,Breaker,No Item,Buster,Ravager,Snake,D,0.4924,282131933677420054,Snes,Infiltrator,0.12
2087,Breaker,Peacekeeper,Ravager,Skyhammer,Tan Frenchie,A,0.0593,324876543640527004,Ghost,Breaker,0.2733
2088,Renegade,Ironclaw,Ironclaw,Spyder,Rooster,D,0.4924,420076320018900750,Orng,Breaker,0.119
2089,Buster,Buster,No Item,Ravager,Collie,D,0.4924,918527731536661463,Corps,Peacekeeper,0.119
2090,Deep Fried,No Item,Buster,Deep Fried,White Mouse,D,0.4924,280056798933304960,Ghost,Breaker,
2091,Peacekeeper,Deep Fried,Renegade,Spyder,Cave Bat,D,0.4924,917241825790720017,Grape,Infiltrator,0.2
2092,Ironclaw,Deep Fried,No Item,Renegade,Mako Shark,D,0.4924,426081004800442585,Crimson,Infiltrator,0.1055
2093,Buster,Infiltrator,No Item,Skyhammer,Black Pupper,C,0.2973,842541248518551447,Corps,Infiltrator,0.1423
2094,Ravager,Ravager,No Item,Ironclaw,Tiger,C,0.2973,421448388396777564,Phantom,Ironclaw,0.1169
2095,Buster,No Item,Spyder,Renegade,Fruit Bat,C,0.2973,661845009511873522,High Tide,Buster,0.1169
2096,Deep Fried,No Item,Deep Fried,Deep Fried,Purple Frog,C,0.2973,543637999900104987,Corps,Peacekeeper,0.1169
2097,Buster,No Item,No Item,Ironclaw,Orange Hamster,D,0.4924,912889385511229196,Seal,Deep Fried,0.22
2098,Breaker,No Item,No Item,Buster,Staffie,D,0.4924,074406956611665035,Crimson,Breaker,0.18
2099,Breaker,No Item,Ironclaw,Spyder,Tuna,C,0.2973,604593527677274559,Phantom,Ravager,0.118
2100,Skyhammer,No Item,Breaker,Spyder,Pig,D,0.4924,281574020444495623,Corps,Skyhammer,0.118
2101,Buster,Ironclaw,Deep Fried,Peacekeeper,Collie,D,0.4924,633030374581208096,Guardian,Renegade,0.1176
2102,Breaker,No Item,No Item,Peacekeeper,Rabbit,D,0.4924,635400674655220011,Dune,Renegade,0.12
2103,Ironclaw,No Item,Ravager,Renegade,Orange Hamster,D,0.4924,631495403822768457,Grape,Buster,
2104,Breaker,Infiltrator,Peacekeeper,Ravager,Hare,C,0.2973,728817534634646650,Spec. Ops,Peacekeeper,
2105,Peacekeeper,No Item,Peacekeeper,Infiltrator,Macaque,S,0.0296,363265912744084286,High Tide,Buster,0.12
2106,Peacekeeper,No Item,No Item,Breaker,Black Horse,D,0.4924,776106160722335653,Camo,Breaker,0.1176
2107,Buster,Infiltrator,No Item,Ravager,Rottweiler,D,0.4924,142021734588334907,Corps,Infiltrator,
2108,Buster,Deep Fried,Buster,Infiltrator,Red Squid,A,0.0593,206627412590425474,Spec. Ops,Peacekeeper,0.1169
2109,Renegade,Peacekeeper,Skyhammer,Buster,Tribal Boar,S,0.0296,664556058008152182,Orng,Breaker,
2110,Infiltrator,Deep Fried,Deep Fried,Spyder,Blue Whale,S,0.0296,484748523160406014,Spec. Ops,Ironclaw,0.1899
2111,Ravager,No Item,Ironclaw,Breaker,Rottweiler,D,0.4924,840005767322907863,Red,Buster,0.1149
2112,Ironclaw,Skyhammer,Peacekeeper,Renegade,Prince Cat,D,0.4924,913221600815487729,Puff,Infiltrator,0.1159
2113,Spyder,No Item,Infiltrator,Infiltrator,Corgi,D,0.4924,219070512233366377,Puff,Renegade,0.1162
2114,Infiltrator,Breaker,Ravager,Skyhammer,Blue Macaw,A,0.0593,240008341135163034,Phantom,Ironclaw,0.342
2115,Spyder,No Item,Renegade,Infiltrator,Purple Frog,C,0.2973,300096113200397006,High Tide,Breaker,0.1342
2116,Buster,No Item,No Item,Infiltrator,Orange Cat,D,0.4924,216533810566880701,Grape,Ravager,
2117,Buster,No Item,Skyhammer,Deep Fried,Chicken,C,0.2973,900024496555553630,Snes,Skyhammer,0.11
